"Notes"	"Year"	"Year Code"	"Division"	"Division Code"	"Age Groups"	"Age Groups Code"	Count	Population	Crude Rate
	"2000"	"2000"	"West North Central"	"CENS-D4"	"75-79 years"	"75-79"	12435	514593	2416.5
	"2000"	"2000"	"West North Central"	"CENS-D4"	"80-84 years"	"80-84"	8922	369552	2414.3
	"2000"	"2000"	"West North Central"	"CENS-D4"	"85+ years"	"85+"	7544	351673	2145.2
	"2000"	"2000"	"South Atlantic"	"CENS-D5"	"< 1 year"	"1"	166	680411	24.4
	"2000"	"2000"	"South Atlantic"	"CENS-D5"	"1-4 years"	"1-4"	535	2667303	20.1
	"2000"	"2000"	"South Atlantic"	"CENS-D5"	"5-9 years"	"5-9"	406	3569469	11.4
	"2000"	"2000"	"South Atlantic"	"CENS-D5"	"10-14 years"	"10-14"	467	3619693	12.9
	"2000"	"2000"	"South Atlantic"	"CENS-D5"	"15-19 years"	"15-19"	663	3520287	18.8
	"2000"	"2000"	"South Atlantic"	"CENS-D5"	"20-24 years"	"20-24"	1093	3435446	31.8
	"2000"	"2000"	"South Atlantic"	"CENS-D5"	"25-29 years"	"25-29"	1970	3557208	55.4
	"2000"	"2000"	"South Atlantic"	"CENS-D5"	"30-34 years"	"30-34"	3199	3814517	83.9
	"2000"	"2000"	"South Atlantic"	"CENS-D5"	"35-39 years"	"35-39"	5785	4240626	136.4
	"2000"	"2000"	"South Atlantic"	"CENS-D5"	"40-44 years"	"40-44"	9341	4129711	226.2
	"2000"	"2000"	"South Atlantic"	"CENS-D5"	"45-49 years"	"45-49"	13700	3706903	369.6
	"2000"	"2000"	"South Atlantic"	"CENS-D5"	"50-54 years"	"50-54"	20439	3354050	609.4
	"2000"	"2000"	"South Atlantic"	"CENS-D5"	"55-59 years"	"55-59"	25201	2619282	962.1
	"2000"	"2000"	"South Atlantic"	"CENS-D5"	"60-64 years "	"60-64"	29612	2142119	1382.4
	"2000"	"2000"	"South Atlantic"	"CENS-D5"	"65-69 years"	"65-69"	35930	1914892	1876.3
